mode	package	test	disposition	initial_source_commit	initial_body_capture	accepted_source_commit	accepted_body_capture	initial_test_outcome
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeLegacyReconcileRejectsDispatchFailure	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimePendingLegacyRefusesNewSubmission	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimePendingSignedV2RefusesNewSubmission	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimePendingV2RefusesNewSubmission	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeSelectionPreservesExplicitAuthority	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeSignedReconcileAuthenticatesReceiptBeforePublication	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeSourceAuthenticatesOriginalSignedBatch	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeStartupChecksOriginalSchedule	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseRuntime459RetainsBothOriginalCompanionDomains	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseRuntime460AuthenticatesOriginal458BlockWithoutCurrentAuthority	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseRuntime460PreservesEachOriginalCompanionDomain	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseRuntime460RejectsHistoricalConfigBeforeRpc	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseRuntime460RequiresExactReviewedArtifact	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	sim-testnet	TestCoordinatorRepairCarryRuntimeIdentityAuthenticatesOriginalRepair	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
normal	sim-testnet	TestCoordinatorRepairCarryRuntimeIdentityBindsPlanWithoutChangingActions	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
normal	sim-testnet	TestCoordinatorRepairCarryRuntimeIdentityPreservesHashAndInputOwnership	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
normal	sim-testnet	TestCoordinatorRepairCarryRuntimeIdentityRejectsCurrentAuthoritySubstitution	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
normal	sim-testnet	TestCoordinatorRepairCarryRuntimeIdentityRequiresExplicitReviewedPin	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
normal	sim-testnet	TestCoordinatorRepairCarryRuntimeIdentityRetainsLegacyWire	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
normal	sim-testnet	TestProducerGatePinsExactBlockRuntimeClientRegressions	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
normal	sim-testnet	TestProducerGatePinsRuntime458ArtifactAndEncodingRegressions	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
normal	sim-testnet	TestProducerGatePinsSemanticIntegrityRegressions	replaced-after-test-only-fix	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	7989fa78faae81b82138c79e43dded16aad449dc	/mnt/data/sn-testnet/qualification/runtime460-failed-root-retry-20260915-r1/terra/normal/sim-testnet	fail
normal	sim-testnet	TestProducerGateStateSelectionCoversNativeSourceCommitmentJob	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
normal	sim-testnet	TestPublishedManifestBindsCompleteRuntimeIdentity	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
normal	sim-testnet	TestReleaseConfigHashBindsPublicAndHyperparameterManifests	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet	pass
